Account ID,Backlog Rev,Bio Reactors used,BM Test,Campaign ID,Cell Culture Media,Cell Type,Close Date,Closed,Closed Lost Reason,Competitive Product Details,Contact ID,COVID Notes,COVID Status,Created By ID,Created by Lead Conversion,Created Date,Date Opportunity was Closed,Deleted,DOR Distributor,DOR Expiration,Final Quote,Fiscal Period,Fiscal Quarter,Fiscal Year,Forecast Category,Forecast Category1,Forecast Q Commit,Forecast Q Prior Commit,Funding Source,Has Line Item,Has Open Activity,Has Overdue Task,Industry,Install This Quarter,Interface Type,Internal Forecast,Last Activity,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Stage Change Date,Last Stage Change Date1,Last Viewed Date,LDO,LDO Priority Level,Lead Application,Lead Source,LS Other Research Area,LS Research Area,Mass Spec Manufacturer,Mass Spec Type,Media Provider,Opportunity ID,Opportunity Type,Order Finalized,Other Closed Lost Details,Other Mass Spec Type,Other Research Area,Owner ID,Price Book ID,Primary Application,Primary Application (FF),Primary Contact,Product Category,Product of Interest,Purchase Agent,Quote ID,Record Type ID,Registered Vendor (confirmed),Secondary Application (FF),Ship This Quarter,Ship This Quarter List,Signing Authority,Stage,Standard Application,System Modstamp,Technical Owner,Training Date,Validated Customer Needs,Won,# Close Date Extensions,# Close Date Month Extensions,Amount,Days Open,Expected Amount,Probability (%),Push Count
0013100001VWdHfAAL,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,TRUE,22-07-2015 02:31,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,FALSE,FALSE,FALSE,Education,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,17-09-2020 14:48,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Website,,,,,,0063100000YNxMDAA1,,FALSE,,,,005i0000000fNkyAAE,,All Hazards,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,0,,0,0,0
001i000000Jd1ngAAB,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,TRUE,31-07-2015 16:11,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,FALSE,FALSE,FALSE,Education,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,17-09-2020 14:48,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000YOGBDAA5,,FALSE,,,,005i0000000fNkyAAE,,,,0033100002mbttwAAA,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,177000,,0,0,0
0013100001VXN1KAAX,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,FALSE,05-08-2015 20:11,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Education,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,06-01-2020 18:18,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000YOYE1AAP,,FALSE,,,,005i0000000fNkyAAE,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,100000,,0,0,0
0013100001awhseAAA,FALSE,,FALSE,,,,30-09-2015,TRUE,Duplicate opportunity,,,,,005i0000000fNkyAAE,TRUE,16-09-2015 02:26,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,FALSE,FALSE,FALSE,Education,FALSE,,FALSE,01-01-1999,00531000007MUoEAAW,23-02-2021 18:15,0,24-12-2020 01:36,01-01-1999,,FALSE,,,Advertisement,,,,,,0063100000ZJiQqAAL,,FALSE,,,,00531000008F2qlAAC,,CWAs,,0033100002nwgNAAAY,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,0,,0,0,0
0013100001bZKDxAAO,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,TRUE,22-09-2015 15:39,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Education,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,17-09-2020 14:48,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000ZKCUHAA5,,FALSE,,,,005i0000000fNkyAAE,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,50000,,0,0,0
0013100001bZYGIAA4,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,TRUE,23-09-2015 22:07,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Electronics,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,17-09-2020 14:48,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000ZKMQFAA5,,FALSE,,,,005i0000000fNkyAAE,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,50000,,0,0,0
0013100001bZYVXAA4,FALSE,,FALSE,,,,30-09-2015,TRUE,,,,,,005i0000000fNkyAAE,TRUE,23-09-2015 22:38,01-01-1999,FALSE,,01-01-1999,FALSE,01-03-2015,3,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Electronics,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,17-09-2020 14:48,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000ZKMWSAA5,,FALSE,,,,005i0000000fNkyAAE,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,50000,,0,0,0
0013100001cRpCNAA0,FALSE,,FALSE,,,,31-12-2015,TRUE,,,,,,005i0000006RgPOAA0,TRUE,28-10-2015 22:12,01-01-1999,FALSE,,01-01-1999,FALSE,01-04-2015,4,2015,Omitted,Omitted,FALSE,FALSE,,FALSE,FALSE,FALSE,Electronics,FALSE,,FALSE,01-01-1999,00531000007MUoEAAW,23-02-2021 18:16,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000ZlQEeAAN,,FALSE,,,,005i0000000fNkyAAE,,CWAs,,0033100002pPZxPAAW,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,0,,0,0,0
0013100001cRpCNAA0,FALSE,,FALSE,,,,15-12-2015,TRUE,,,,,,005i0000006RgPOAA0,FALSE,28-10-2015 22:15,01-01-1999,FALSE,,01-01-1999,FALSE,01-04-2015,4,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Telecommunications,FALSE,,FALSE,01-01-1999,0055A000009s6n0QAA,06-01-2020 18:18,0,06-01-2020 18:18,01-01-1999,,FALSE,,,Other,,,,,,0063100000ZlQFIAA3,,FALSE,,,,00531000007Es7rAAC,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,50000,,0,0,0
001i000001MZ8IpAAL,FALSE,,FALSE,,,,30-11-2015,TRUE,,,,,,005i0000000fNkyAAE,FALSE,13-11-2015 18:31,01-01-1999,FALSE,,01-01-1999,FALSE,01-04-2015,4,2015,Omitted,Omitted,FALSE,FALSE,,TRUE,FALSE,FALSE,Telecommunications,FALSE,,FALSE,01-01-1999,00531000007MUoEAAW,08-12-2020 21:02,0,06-01-2020 18:18,01-01-1999,,TRUE,,,Other,,,,,,0063100000aBvNTAA0,,FALSE,,,,005i0000000fNkyAAE,01si0000000WGiAAAW,,,,,,,,0125A000001NaBLQA0,FALSE,,FALSE,,,Closed Lost,FALSE,29-06-2021 20:34,,,FALSE,FALSE,5,3,2892032,,0,0,0
